Material,Material Description,Plant,Storage Location,Movement Type,Posting Date,Qty in Un. of Entry,Unit of Entry,Movement Type Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Entry Date,Amount in LC,Purchase Order,Movement indicator,Base Unit of Measure,Quantity,Material Doc. Year,Debit/Credit ind,Trans./Event Type,Material Type,Vendor Code
31045280,2.0 TR SPLIT AIR CONDITION CONDENSER COI,8110,HVAC,101,2020-06-23,9,NO,GR goods receipt,2020-06-17,9,NO,NO,9,2020-06-23,75069,4400042583.0,B,NO,9,2020,S,WE,ZCON,58930.0
31045294,"THREE PHASE PREVENTER, MAKE: MINILEC MPR",8110,ELSP,101,2020-09-30,8,NO,GR goods receipt,2020-09-30,8,NO,NO,8,2020-09-30,10448,4400044801.0,B,NO,8,2020,S,WE,ZCON,58930.0
31045294,"THREE PHASE PREVENTER, MAKE: MINILEC MPR",8110,ELSP,101,2020-09-14,22,NO,GR goods receipt,2020-09-12,22,NO,NO,22,2020-09-14,28732,4400044801.0,B,NO,22,2020,S,WE,ZCON,58930.0
31045369,700 ML H-TEMP POLYSULFONE WATER BOTTLE W,8110,QCCN,101,2020-08-14,300,NO,GR goods receipt,2020-04-30,300,NO,NO,300,2020-08-14,222685,4700002850.0,B,NO,300,2020,S,WE,ZCON,58930.0
31045370,"PRESSURE SENSOR, MAKE: ANDERSON - NEGELE",8110,INSP,101,2020-07-02,3,NO,GR goods receipt,2020-06-30,3,NO,NO,3,2020-07-02,111278,4400039588.0,B,NO,3,2020,S,WE,ZCON,58930.0
31045382,"PLC, MAKE: MITSUBISHI, MODEL: FX5U-32M C",8110,INSP,101,2021-02-25,1,NO,GR goods receipt,2021-02-22,1,NO,NO,1,2021-02-25,33936,4400048012.0,B,NO,1,2021,S,WE,ZCON,58930.0
31045382,"PLC, MAKE: MITSUBISHI, MODEL: FX5U-32M C",8110,INSP,101,2020-06-15,2,NO,GR goods receipt,2020-06-13,2,NO,NO,2,2020-06-15,67872,4400039996.0,B,NO,2,2020,S,WE,ZCON,56185.0
31045432,SOFTENER VESSEL STRAINER MODEL: BOTTOM M,8110,BOIS,101,2020-11-20,1,KIT,GR goods receipt,2020-11-10,1,KIT,KIT,1,2020-11-20,8020,4400045508.0,B,KIT,1,2020,S,WE,ZCON,50197.0
31045440,"SS NIPPLE 1/2"" X 4""",8110,BOIS,101,2020-09-22,10,NO,GR goods receipt,2020-09-22,10,NO,NO,10,2020-09-22,582,4400045439.0,B,NO,10,2020,S,WE,ZCON,50197.0
31045441,D SPANNER 8 TO 9,8110,UTL,101,2021-01-28,2,NO,GR goods receipt,2021-01-28,2,NO,NO,2,2021-01-28,38,4400047976.0,B,NO,2,2021,S,WE,ZCON,50197.0
31045496,"AUTO CLAVE DOOR GASKET SQUARE TYPE, 600X",8110,UTL,101,2020-07-02,3,NO,GR goods receipt,2020-06-19,3,NO,NO,3,2020-07-02,8835,4400041143.0,B,NO,3,2020,S,WE,ZCON,58183.0
31045498,HEPA FILTER 1260X500X110 MM 0.3 MICRON H,8110,UTL,101,2020-06-15,2,NO,GR goods receipt,2020-06-11,2,NO,NO,2,2020-06-15,17255,4400039115.0,B,NO,2,2020,S,WE,ZCON,56452.0
31045499,HEPA FILTER 1200X740X66 MM 0.3 MICRON H1,8110,UTL,101,2020-06-15,4,NO,GR goods receipt,2020-06-11,4,NO,NO,4,2020-06-15,40528,4400039115.0,B,NO,4,2020,S,WE,ZCON,54205.0
31045500,HEPA FILTER 590X530X69 MM 0.3 MICRON H14,8110,UTL,101,2020-06-15,5,NO,GR goods receipt,2020-06-11,5,NO,NO,5,2020-06-15,21632,4400039115.0,B,NO,5,2020,S,WE,ZCON,56981.0
31045567,100 ML SS 316 L CONTAINER WITH LID AND G,8110,4017,101,2020-10-09,60,NO,GR goods receipt,2020-10-06,60,NO,NO,60,2020-10-09,315000,4400045284.0,B,NO,60,2020,S,WE,ZCON,56926.0
31045567,100 ML SS 316 L CONTAINER WITH LID AND G,8110,4017,101,2020-06-04,60,NO,GR goods receipt,2020-06-02,60,NO,NO,60,2020-06-04,315000,4400041016.0,B,NO,60,2020,S,WE,ZCON,52674.0
31045570,"RECEIPT PRINTER,MAKE:EPSON,MODEL:M188D,T",8110,GEN,101,2021-03-26,1,NO,GR goods receipt,2021-03-24,1,NO,NO,1,2021-03-26,9890,4400048536.0,B,NO,1,2021,S,WE,ZCON,52674.0
31045604,HIGH TEMP. LUBRICANT FOR DOOR GASKET MAK,8110,UTL,101,2020-06-11,2,KG,GR goods receipt,2020-06-11,2,KG,KG,2,2020-06-11,5251,4400040951.0,B,KG,2,2020,S,WE,ZCON,50879.0
31045605,SILICON DOOR GASKET SIZE: 20MM OD X 9MM,8110,UTL,101,2021-03-10,2,NO,GR goods receipt,2021-02-22,2,NO,NO,2,2021-03-10,9614,4400048779.0,B,NO,2,2021,S,WE,ZCON,54285.0
31045605,SILICON DOOR GASKET SIZE: 20MM OD X 9MM,8110,UTL,101,2020-06-01,2,NO,GR goods receipt,2020-05-19,2,NO,NO,2,2020-06-01,9614,4400039868.0,B,NO,2,2020,S,WE,ZCON,55900.0
31045606,SILICON DOOR GASKET SIZE: 20MM OD X 9MM,8110,UTL,101,2021-03-10,2,NO,GR goods receipt,2021-02-22,2,NO,NO,2,2021-03-10,12018,4400048779.0,B,NO,2,2021,S,WE,ZCON,55900.0
31045606,SILICON DOOR GASKET SIZE: 20MM OD X 9MM,8110,UTL,101,2020-06-01,2,NO,GR goods receipt,2020-05-19,2,NO,NO,2,2020-06-01,12018,4400039868.0,B,NO,2,2020,S,WE,ZCON,55763.0
31045610,CAST IRON VERTICAL INVERTED BUCKET TYPE,8110,UTL,101,2020-07-28,3,NO,GR goods receipt,2020-07-22,3,NO,NO,3,2020-07-28,13635,4400043475.0,B,NO,3,2020,S,WE,ZCON,54080.0
31045664,INTERNAL CUVETTE CABLE WITH LEMOSA SOCKE,8310,RD01,101,2020-06-19,1,NO,GR goods receipt,2020-06-08,1,NO,NO,1,2020-06-19,12118,4400041072.0,B,NO,1,2020,S,WE,ZCON,54889.0
31045665,"ELECTRONICS COMPONENTS(CONTROLLING,DISPL",8310,RD01,101,2020-06-19,1,NO,GR goods receipt,2020-06-08,1,NO,NO,1,2020-06-19,90800,4400041072.0,B,NO,1,2020,S,WE,ZCON,54889.0
31045676,FILTER HOUSING IN PP 10LENGTH TO FIT 8,8110,INSP,101,2020-06-04,4,NO,GR goods receipt,2020-06-03,4,NO,NO,4,2020-06-04,2550,4400042075.0,B,NO,4,2020,S,WE,ZCON,54889.0
31045721,"CUVETTE-50 ML/US SPARE GLASS CUVETTE, MA",8310,RD01,101,2020-06-19,1,NO,GR goods receipt,2020-06-08,1,NO,NO,1,2020-06-19,140586,4400041072.0,B,NO,1,2020,S,WE,ZCON,53646.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2021-03-20,8,NO,GR goods receipt,2021-03-16,8,NO,NO,8,2021-03-20,136000,4400048693.0,B,NO,8,2021,S,WE,ZCON,50424.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2021-03-08,7,NO,GR goods receipt,2021-03-03,7,NO,NO,7,2021-03-08,119000,4400048693.0,B,NO,7,2021,S,WE,ZCON,50424.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2021-03-08,40,NO,GR goods receipt,2021-03-03,40,NO,NO,40,2021-03-08,680000,4400048405.0,B,NO,40,2021,S,WE,ZCON,50424.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2021-01-27,6,NO,GR goods receipt,2021-01-22,6,NO,NO,6,2021-01-27,102000,4400047504.0,B,NO,6,2021,S,WE,ZCON,58569.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2021-01-13,14,NO,GR goods receipt,2021-01-09,14,NO,NO,14,2021-01-13,238000,4400047504.0,B,NO,14,2021,S,WE,ZCON,57680.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2020-11-11,30,NO,GR goods receipt,2020-10-30,30,NO,NO,30,2020-11-11,510000,4400046240.0,B,NO,30,2020,S,WE,ZCON,57680.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2020-10-06,7,NO,GR goods receipt,2020-09-28,7,NO,NO,7,2020-10-06,119000,4400045136.0,B,NO,7,2020,S,WE,ZCON,50674.0
31045773,CHRX5501A0SS101 - PES MEMBRANE CARTRIDGE,8110,PRCN,101,2020-09-21,13,NO,GR goods receipt,2020-09-16,13,NO,NO,13,2020-09-21,221000,4400045136.0,B,NO,13,2020,S,WE,ZCON,56882.0
31045844,200 ML WATER BOTTLE IN POLYSULPHONE CONS,8110,QCCN,101,2020-06-16,300,NO,GR goods receipt,2020-06-10,300,NO,NO,300,2020-06-16,105300,4400039849.0,B,NO,300,2020,S,WE,ZCON,50424.0
31045845,"IVC CAGE BOTTOM, SIZE B, IN POLYSULPHONE",8110,QCCN,101,2020-06-16,300,NO,GR goods receipt,2020-06-10,300,NO,NO,300,2020-06-16,423900,4400039849.0,B,NO,300,2020,S,WE,ZCON,50844.0
31045858,1 INCH SILICON GASKET WITH COLLER,8110,EQSP,101,2020-07-28,100,NO,GR goods receipt,2020-07-24,100,NO,NO,100,2020-07-28,2660,4400040017.0,B,NO,100,2020,S,WE,ZCON,50844.0
31045870,"PU CONNECTOR ,SIZE:8 MM, TYPE: T",8110,EQSP,101,2020-06-30,15,NO,GR goods receipt,2020-06-19,15,NO,NO,15,2020-06-30,2768,4400041697.0,B,NO,15,2020,S,WE,ZCON,50844.0
31045872,"PU CONNECTOR ,SIZE:4 MM, TYPE: T",8110,EQSP,101,2021-03-27,20,NO,GR goods receipt,2021-03-25,20,NO,NO,20,2021-03-27,1440,4400050312.0,B,NO,20,2021,S,WE,ZCON,50844.0
31045873,"PU CONNECTOR ,SIZE:8 MM, TYPE: L",8110,UTL,101,2020-10-15,50,NO,GR goods receipt,2020-10-08,50,NO,NO,50,2020-10-15,5872,4400045838.0,B,NO,50,2020,S,WE,ZCON,52609.0
31045873,"PU CONNECTOR ,SIZE:8 MM, TYPE: L",8110,EQSP,101,2020-06-08,40,NO,GR goods receipt,2020-06-05,40,NO,NO,40,2020-06-08,5400,4400041697.0,B,NO,40,2020,S,WE,ZCON,56152.0
31045874,"PU CONNECTOR ,SIZE:6 MM, TYPE: L",8110,UTL,101,2020-10-15,50,NO,GR goods receipt,2020-10-08,50,NO,NO,50,2020-10-15,5472,4400045838.0,B,NO,50,2020,S,WE,ZCON,51156.0
31045874,"PU CONNECTOR ,SIZE:6 MM, TYPE: L",8110,EQSP,101,2020-06-08,40,NO,GR goods receipt,2020-06-05,40,NO,NO,40,2020-06-08,4860,4400041697.0,B,NO,40,2020,S,WE,ZCON,51156.0
31045875,"PU CONNECTOR ,SIZE:4 MM, TYPE: L",8110,EQSP,101,2020-06-30,30,NO,GR goods receipt,2020-06-19,30,NO,NO,30,2020-06-30,3375,4400041697.0,B,NO,30,2020,S,WE,ZCON,57993.0
31045877,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-12-29,2,CV,GR goods receipt,2020-12-28,2,CV,CV,2,2020-12-29,86000,4400045058.0,B,CV,2,2020,S,WE,ZCON,56846.0
31045877,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-12-21,21,CV,GR goods receipt,2020-12-19,21,CV,CV,21,2020-12-21,903000,4400045058.0,B,CV,21,2020,S,WE,ZCON,54261.0
31045877,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-09-01,26,CV,GR goods receipt,2020-08-29,26,CV,CV,26,2020-09-01,1118000,4400042295.0,B,CV,26,2020,S,WE,ZCON,55900.0
31045878,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-12-21,5,CV,GR goods receipt,2020-12-19,5,CV,CV,5,2020-12-21,130000,4400045058.0,B,CV,5,2020,S,WE,ZCON,54889.0
31045878,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-10-10,7,CV,GR goods receipt,2020-10-05,7,CV,CV,7,2020-10-10,182000,4400042295.0,B,CV,7,2020,S,WE,ZCON,56152.0
31045878,NUNC/THERMO MAKE HIGH DENSITY CELL FACTO,8110,PRCN,101,2020-08-05,2,CV,GR goods receipt,2020-07-30,2,CV,CV,2,2020-08-05,52000,4400042295.0,B,CV,2,2020,S,WE,ZCON,52844.0
31045880,4 CORE X 1.0 SQ.MM FLEXIBLE CABLE MAKE:,8110,ELSP,101,2020-09-23,200,M,GR goods receipt,2020-09-23,200,M,M,200,2020-09-23,5940,4400045343.0,B,M,200,2020,S,WE,ZCON,51570.0
31045880,4 CORE X 1.0 SQ.MM FLEXIBLE CABLE MAKE:,8110,INSP,101,2020-06-24,200,M,GR goods receipt,2020-06-23,200,M,M,200,2020-06-24,6056,4400042800.0,B,M,200,2020,S,WE,ZCON,51570.0
31045880,4 CORE X 1.0 SQ.MM FLEXIBLE CABLE MAKE:,8110,INSP,101,2020-05-22,500,M,GR goods receipt,2020-05-22,500,M,M,500,2020-05-22,14575,4400040483.0,B,M,500,2020,S,WE,ZCON,54932.0
31045895,AMBICA LABELING -PRESSING BELT - 825X80X,8110,EQSP,101,2020-11-11,10,NO,GR goods receipt,2020-11-03,10,NO,NO,10,2020-11-11,50985,4400045297.0,B,NO,10,2020,S,WE,ZCON,54932.0
31045957,VACUUM CUP-SIZE-13DX10L-MOC-SILICON,8110,EQSP,101,2020-06-15,30,NO,GR goods receipt,2020-06-15,30,NO,NO,30,2020-06-15,4435,4400039993.0,B,NO,30,2020,S,WE,ZCON,52247.0
31045958,VACUUM CUP-18DX10L-MOC SILICON.,8110,EQSP,101,2020-06-15,30,NO,GR goods receipt,2020-06-15,30,NO,NO,30,2020-06-15,4435,4400039993.0,B,NO,30,2020,S,WE,ZCON,52247.0
31045976,PTFE HOSE(HOSE BORE ½) AFLEX MAKE,8110,PRCN,101,2020-06-04,2,NO,GR goods receipt,2020-05-29,2,NO,NO,2,2020-06-04,40363,4400040512.0,B,NO,2,2020,S,WE,ZCON,52247.0
31046017,40MM VALVE BURKERT 2/2-WAY-PISTON-OPERAT,8110,EQSP,101,2020-05-20,1,NO,GR goods receipt,2020-05-14,1,NO,NO,1,2020-05-20,88145,4400040165.0,B,NO,1,2020,S,WE,ZCON,54106.0
31046018,"25MM VALVE BURKET,,2/2-WAY-PISTON-OP DIA",8110,EQSP,101,2020-05-20,2,NO,GR goods receipt,2020-05-14,2,NO,NO,2,2020-05-20,125944,4400040165.0,B,NO,2,2020,S,WE,ZCON,50197.0
31046034,TIMING BELT--700XL X 18MM WIDTH,8110,EQSP,101,2020-06-19,5,NO,GR goods receipt,2020-06-15,5,NO,NO,5,2020-06-19,3125,4400042544.0,B,NO,5,2020,S,WE,ZCON,56152.0
31046036,TIMING BELT-600L X 18MM WIDTH,8110,EQSP,101,2020-06-11,5,NO,GR goods receipt,2020-06-10,5,NO,NO,5,2020-06-11,3860,4400040509.0,B,NO,5,2020,S,WE,ZCON,58569.0
31046043,"GRUDNFOS PUMP,TYPE; UPS 32-80 180.230V,5",8110,UTL,101,2020-11-19,1,NO,GR goods receipt,2020-11-18,1,NO,NO,1,2020-11-19,36975,4400044339.0,B,NO,1,2020,S,WE,ZCON,57168.0
31046043,"GRUDNFOS PUMP,TYPE; UPS 32-80 180.230V,5",8110,EQSP,101,2020-06-24,1,NO,GR goods receipt,2020-06-24,1,NO,NO,1,2020-06-24,36975,4400040143.0,B,NO,1,2020,S,WE,ZCON,57168.0
31046044,ENGRAVING LETTERS ON SS FLAT SIZE; 300MM,8110,EQSP,101,2020-10-13,99,NO,GR goods receipt,2020-10-10,99,NO,NO,99,2020-10-13,60143,4400040198.0,B,NO,99,2020,S,WE,ZCON,51084.0
31046044,ENGRAVING LETTERS ON SS FLAT SIZE; 300MM,8110,EQSP,101,2020-10-13,70,NO,GR goods receipt,2020-10-10,70,NO,NO,70,2020-10-13,42525,4400046046.0,B,NO,70,2020,S,WE,ZCON,50424.0
31046044,ENGRAVING LETTERS ON SS FLAT SIZE; 300MM,8110,EQSP,101,2020-07-13,51,NO,GR goods receipt,2020-07-13,51,NO,NO,51,2020-07-13,30983,4400040198.0,B,NO,51,2020,S,WE,ZCON,50424.0
31046054,SILICON RUBBER BEEDING AS PER SAMPLE,8110,UTL,101,2020-06-22,20,M,GR goods receipt,2020-06-22,20,M,M,20,2020-06-22,3780,4400042750.0,B,M,20,2020,S,WE,ZCON,50424.0
31046054,SILICON RUBBER BEEDING AS PER SAMPLE,8110,UTL,101,2020-05-21,40,M,GR goods receipt,2020-05-21,40,M,M,40,2020-05-21,7560,4400041681.0,B,M,40,2020,S,WE,ZCON,56846.0
31046062,"T-TYPE THERMOCOUPLE 7/36 HWG SIZE, COPPE",8110,GEN,101,2021-03-18,35,NO,GR goods receipt,2021-03-16,35,NO,NO,35,2021-03-18,269500,4400049677.0,B,NO,35,2021,S,WE,ZCON,55900.0
31046062,"T-TYPE THERMOCOUPLE 7/36 HWG SIZE, COPPE",8110,GEN,101,2021-03-08,25,NO,GR goods receipt,2021-03-05,25,NO,NO,25,2021-03-08,192500,4400048635.0,B,NO,25,2021,S,WE,ZCON,54932.0
31046062,"T-TYPE THERMOCOUPLE 7/36 HWG SIZE, COPPE",8110,GEN,101,2021-02-24,50,NO,GR goods receipt,2021-02-22,50,NO,NO,50,2021-02-24,385000,4400048635.0,B,NO,50,2021,S,WE,ZCON,54932.0
31046062,"T-TYPE THERMOCOUPLE 7/36 HWG SIZE, COPPE",8110,GEN,101,2020-05-19,45,NO,GR goods receipt,2020-05-19,45,NO,NO,45,2020-05-19,342000,4400040144.0,B,NO,45,2020,S,WE,ZCON,54932.0
31046139,"NUNC STANDARD CELL FACTORIES, 01 LAYERED",8110,PRCN,101,2020-12-21,6,CV,GR goods receipt,2020-12-19,6,CV,CV,6,2020-12-21,143820,4400045058.0,B,CV,6,2020,S,WE,ZCON,54932.0
31046139,"NUNC STANDARD CELL FACTORIES, 01 LAYERED",8110,PRCN,101,2020-09-01,6,CV,GR goods receipt,2020-08-29,6,CV,CV,6,2020-09-01,143820,4400042295.0,B,CV,6,2020,S,WE,ZCON,54932.0
31046139,"NUNC STANDARD CELL FACTORIES, 01 LAYERED",8110,PRCN,101,2020-08-31,3,CV,GR goods receipt,2020-08-31,3,CV,CV,3,2020-08-31,74370,4400040556.0,B,CV,3,2020,S,WE,ZCON,54932.0
31046143,SILICON GASKET FOR POLYSULFONE BOTTLES,8110,QCCN,101,2020-07-07,500,NO,GR goods receipt,2020-07-03,500,NO,NO,500,2020-07-07,24750,4400040985.0,B,NO,500,2020,S,WE,ZCON,54932.0
31046144,STAINLESS STEEL PRESS FIT CAP FOR POLYSU,8110,QCCN,101,2020-07-07,500,NO,GR goods receipt,2020-07-03,500,NO,NO,500,2020-07-07,64550,4400040985.0,B,NO,500,2020,S,WE,ZCON,58112.0
31046165,"RELAY MODULE,PART NO.: RM06,6 RELAYS",8110,INSP,101,2020-06-24,1,NO,GR goods receipt,2020-06-24,1,NO,NO,1,2020-06-24,17000,4400042797.0,B,NO,1,2020,S,WE,ZCON,54508.0
31046165,"RELAY MODULE,PART NO.: RM06,6 RELAYS",8110,INSP,101,2020-06-03,1,NO,GR goods receipt,2020-06-01,1,NO,NO,1,2020-06-03,18000,4400040444.0,B,NO,1,2020,S,WE,ZCON,52844.0
31046190,"INDICATOR ASSY- IND-235-SS, P/N-27801508",8110,INSP,101,2020-06-29,1,NO,GR goods receipt,2020-06-20,1,NO,NO,1,2020-06-29,40100,4400041101.0,B,NO,1,2020,S,WE,ZCON,52844.0
31046194,"PROXIMON IR SENSOR,MODEL : G50PO,SUPPLY",8110,INSP,101,2020-07-24,6,NO,GR goods receipt,2020-07-22,6,NO,NO,6,2020-07-24,10644,4400042410.0,B,NO,6,2020,S,WE,ZCON,51106.0
31046195,"LEVEL SWITCH,MAKE:-BAUMER,PART CODE:-LBF",8110,INSP,101,2020-09-28,2,NO,GR goods receipt,2020-09-28,2,NO,NO,2,2020-09-28,34469,4400044329.0,B,NO,2,2020,S,WE,ZCON,51106.0
31046213,"ANALOG OUTPUT CARD,MAKE:-ALLENBRADLEY,CA",8110,INSP,101,2020-10-06,1,NO,GR goods receipt,2020-10-05,1,NO,NO,1,2020-10-06,23206,4400045551.0,B,NO,1,2020,S,WE,ZCON,51106.0
31046240,"ROOM DISPLAY MAKE: GLOBAL, MODEL: CR 131",8110,INSP,101,2020-06-26,10,NO,GR goods receipt,2020-06-24,10,NO,NO,10,2020-06-26,129200,4400040547.0,B,NO,10,2020,S,WE,ZCON,55451.0
31046273,"PAPERLESS RECORDER, MAKE: ABB, MODEL: RV",8110,INSP,101,2020-08-22,1,NO,GR goods receipt,2020-08-21,1,NO,NO,1,2020-08-22,128250,4400040360.0,B,NO,1,2020,S,WE,ZCON,55451.0
31046273,"PAPERLESS RECORDER, MAKE: ABB, MODEL: RV",8110,INSP,101,2020-06-19,2,NO,GR goods receipt,2020-06-19,2,NO,NO,2,2020-06-19,256500,4400040360.0,B,NO,2,2020,S,WE,ZCON,57993.0
31046304,ORION STAR A211 STAR A211 PH BENCHTOP ME,8110,PRCN,101,2021-03-22,1,NO,GR goods receipt,2021-03-17,1,NO,NO,1,2021-03-22,159000,4400048828.0,B,NO,1,2021,S,WE,ZCON,51570.0
31046317,"SS TEE 1/4"" OD",8110,EQSP,101,2020-06-06,20,NO,GR goods receipt,2020-06-05,20,NO,NO,20,2020-06-06,3800,4400040244.0,B,NO,20,2020,S,WE,ZCON,51570.0
31046345,4 CORE X 0.5 SQMM FLEXIBLE SHIELDED CONT,8110,INSP,101,2020-08-20,100,M,GR goods receipt,2020-08-19,100,M,M,100,2020-08-20,2500,4400044436.0,B,M,100,2020,S,WE,ZCON,57002.0
31046347,0.75 SQ MM SINGLE CORE CONTROL CABLE MAK,8110,ELSP,101,2021-03-20,200,M,GR goods receipt,2021-03-18,200,M,M,200,2021-03-20,1410,4400049562.0,B,M,200,2021,S,WE,ZCON,57002.0
31046368,SS DOCUMENT WRITING STAND WITH SHELVE (,8110,PRCN,101,2020-10-16,2,NO,GR goods receipt,2020-10-14,2,NO,NO,2,2020-10-16,7440,4400044636.0,B,NO,2,2020,S,WE,ZCON,54916.0
31046369,"VFD KEYPAD EXTENSION CABLE, MAKE: DELTA,",8110,INSP,101,2020-07-20,5,NO,GR goods receipt,2020-07-16,5,NO,NO,5,2020-07-20,4513,4400041066.0,B,NO,5,2020,S,WE,ZCON,50115.0
31046372,AUTOCLAVE VALIDATION PORT: SSCHUCKNUT WI,8110,UTL,101,2021-01-09,6,NO,GR goods receipt,2021-01-08,6,NO,NO,6,2021-01-09,42120,4400047133.0,B,NO,6,2021,S,WE,ZCON,52640.0
31046372,AUTOCLAVE VALIDATION PORT: SSCHUCKNUT WI,8110,UTL,101,2020-07-03,2,NO,GR goods receipt,2020-07-03,2,NO,NO,2,2020-07-03,14040,4400041006.0,B,NO,2,2020,S,WE,ZCON,56426.0
31046377,SEW-EURODRIVE 76646 BRUSHNAL/GERMANY KAF,8110,EQSP,101,2020-07-30,1,NO,GR goods receipt,2020-07-27,1,NO,NO,1,2020-07-30,174244,4400041938.0,B,NO,1,2020,S,WE,ZCON,56426.0
31046378,"SEW-EURODRIVE,76646 BRUSHAL /GERMANY 3 I",8110,EQSP,101,2020-07-30,1,NO,GR goods receipt,2020-07-27,1,NO,NO,1,2020-07-30,595666,4400041938.0,B,NO,1,2020,S,WE,ZCON,56426.0
31046379,"HIGH TEMPERATURE HEPA FILTER, SIZE-610 (",8110,EQSP,101,2020-07-10,1,NO,GR goods receipt,2020-06-25,1,NO,NO,1,2020-07-10,67041,4400041005.0,B,NO,1,2020,S,WE,ZCON,56563.0
31046380,"HIGH TEMPERATURE HEPA FILTER,SIZE-460 (W",8110,EQSP,101,2020-07-10,4,NO,GR goods receipt,2020-06-25,4,NO,NO,4,2020-07-10,262770,4400041005.0,B,NO,4,2020,S,WE,ZCON,57264.0
31046421,"DIAPHRAGM DN 40.PTFE+EPDM,PART;00584378-",8110,EQSP,101,2020-06-23,10,NO,GR goods receipt,2020-06-16,10,NO,NO,10,2020-06-23,159161,4400040349.0,B,NO,10,2020,S,WE,ZCON,54692.0
31046422,DIAPHRAGM DN 25-PTFE+EPDM BURKERT.PART:0,8110,EQSP,101,2020-06-23,10,NO,GR goods receipt,2020-06-16,10,NO,NO,10,2020-06-23,132832,4400040349.0,B,NO,10,2020,S,WE,ZCON,54692.0
31046423,MANUAL ZERO DEAD LEG LOCK VALVE 15X15X15,8110,PRCN,101,2020-08-01,1,NO,GR goods receipt,2020-07-25,1,NO,NO,1,2020-08-01,28240,4400042637.0,B,NO,1,2020,S,WE,ZCON,56992.0
31046424,MODEL NO: YDO01M-232- CLK RS232 CARD WIT,8110,INSP,101,2020-05-29,1,NO,GR goods receipt,2020-05-25,1,NO,NO,1,2020-05-29,17760,4400040795.0,B,NO,1,2020,S,WE,ZCON,56724.0
31046425,MODEL NO: MIDET 3000/7 MAKE: MINEBEA HMI,8110,INSP,101,2020-05-29,1,NO,GR goods receipt,2020-05-25,1,NO,NO,1,2020-05-29,238680,4400040795.0,B,NO,1,2020,S,WE,ZCON,52131.0
31046426,"OIL SEAL W B1SF95X119X11/17,5-FKM, PART",8110,EQSP,101,2020-06-13,2,NO,GR goods receipt,2020-05-29,2,NO,NO,2,2020-06-13,6422,4400040941.0,B,NO,2,2020,S,WE,ZCON,52131.0
31046427,"OIL SEAL W BASF95X125X13-FKM, PART .NO:0",8110,EQSP,101,2020-06-13,2,NO,GR goods receipt,2020-05-29,2,NO,NO,2,2020-06-13,7146,4400040941.0,B,NO,2,2020,S,WE,ZCON,56724.0
31046428,"OIL SEAL W B1SF95X163X10/16,5-FKM,PART N",8110,EQSP,101,2020-06-13,2,NO,GR goods receipt,2020-05-29,2,NO,NO,2,2020-06-13,6204,4400040941.0,B,NO,2,2020,S,WE,ZCON,56724.0
31046429,"OIL SEAL W BASF95X170X13-FKM, PART NO: 0",8110,EQSP,101,2020-06-13,2,NO,GR goods receipt,2020-05-29,2,NO,NO,2,2020-06-13,10004,4400040941.0,B,NO,2,2020,S,WE,ZCON,56724.0
31046436,DOUBLE ACTING ACTUATER TYPE: 79UDD601XXD,8110,EQSP,101,2020-08-13,1,NO,GR goods receipt,2020-07-20,1,NO,NO,1,2020-08-13,95246,4700003002.0,B,NO,1,2020,S,WE,ZCON,56724.0
31046438,"DM PLANT MSRL EJECTOR , SIZE : 1"" , MAKE",8320,RD01,101,2020-08-20,3,NO,GR goods receipt,2020-08-12,3,NO,NO,3,2020-08-20,10565,4400042340.0,B,NO,3,2020,S,WE,ZCON,56724.0
31046441,BETTER FLY VALVE (GLOBE VALVE )FLANGE AN,8110,EQSP,101,2020-08-13,1,NO,GR goods receipt,2020-07-20,1,NO,NO,1,2020-08-13,39195,4700003002.0,B,NO,1,2020,S,WE,ZCON,56724.0
31046443,EXPANSION VALVE DANFOSS 067B3349+067B 27,8110,EQSP,101,2020-05-25,1,NO,GR goods receipt,2020-05-21,1,NO,NO,1,2020-05-25,12300,4400040442.0,B,NO,1,2020,S,WE,ZCON,56724.0
31046446,HEAVY DUTY INDUSTRIAL PEDASTAL FAN 240VA,8110,EQSP,101,2020-05-23,2,NO,GR goods receipt,2020-05-22,2,NO,NO,2,2020-05-23,13420,4400040933.0,B,NO,2,2020,S,WE,ZCON,56724.0
